Postal_Code,Latitude,Longitude
32801,-81.37637020320513,28.542967542307693
34491,,
32456,-85.36745240925266,29.884668719395016
33065,-80.2568867664557,26.268428329113924
33186,-80.40772649175608,25.65922080798135
33870,,
33511,-82.29635870891673,27.91353903014001
33134,,
33060,,
34420,,
32097,-81.59670673893805,30.629846941002945
32822,-81.29252997021277,28.489404352340426
34695,,
32266,-81.40503410179768,30.31635734741012
33010,,
33430,,
33931,-81.93338767241379,26.449519380295566
33193,-80.44609794418234,25.699281328983776
33762,-82.68551663709677,27.89359207419355
34769,-81.29883597394821,28.251205911650484
34471,-82.09444227394451,29.16386603968637
33145,-80.23501661699552,25.75326305595896
33441,-80.10072610818182,26.309673005454545
33179,-80.17884385846357,25.95942603734734
33166,-80.30495847990544,25.822809183569742
33716,-82.65727631845238,27.8766754
32405,,
32826,,
33936,,
33324,-80.27080307863476,26.113021858244682
32216,-81.58142668876496,30.284432710943115
33803,,
32046,,
33765,-82.74238026809672,27.980354492355694
34746,,
33603,-82.46293440298507,27.983355721144278
33165,,
34223,,
32068,-81.85904200663158,30.082229289263157
33040,,
33016,,
32214,,
32205,,
33496,-80.15378595504586,26.406568094189602
33135,-80.23408443460335,25.767026436604034
33173,,
34952,-80.29797526556604,27.28994776167453
33756,-82.78857672155772,27.947843332684286
33782,-82.70916071845637,27.85755900067114
33018,,
33412,,
33953,-82.21097499072847,27.004322713245035
33446,,
33161,-80.1823844640514,25.89357555006327
33326,-80.3827807311704,26.11286839931777
34243,-82.51674886164994,27.403351036231882
33073,-80.19186975490395,26.302054337310416
33770,,
33126,-80.29131436090508,25.7760719693024
33155,-80.30891133426009,25.73941706360337
33602,,
33150,,
33308,-80.1075939301653,26.188062510881544
33176,-80.36215595245245,25.656033753846707
33139,,
33311,,
32809,,
33319,-80.22151005568966,26.181693973448276
34945,-80.43087732356021,27.424297933507855
33177,,
33330,,
33404,,
34953,,
33763,-82.74322283028168,28.001381347887325
33178,,
33142,,
32907,-80.67089256208446,28.01603423701707
33403,,
32825,,
33133,,
33144,,
33334,,
32829,-81.2652214964467,28.468733356345176
33034,,
33026,,
32225,,
33351,-80.27462272834646,26.17807548645669
33647,,
32837,,
33760,,
33025,,
33122,,
33315,,
33309,-80.17229368265559,26.18623088348548
33411,-80.20998368252873,26.70756784586207
33903,-81.90258348121301,26.678378216420118
33137,-80.18977020252565,25.817328808708236
33594,-82.24439458943965,27.911358082327585
33014,,
33605,,
33701,-82.6387224388535,27.770546339808917
32725,-81.24553359908387,28.902969677712004
33062,-80.09653012169422,26.238938746074382
33773,-82.76303485065617,27.882557715748028
33029,,
33615,,
33614,,
33136,-80.20396015789231,25.787360713851818
33486,-80.112997110279,26.349159568722467
34788,,
34202,-82.41739995186813,27.42468504483516
33027,,
33713,-82.67438127272727,27.78510035036855
33131,,
33764,-82.7402143980315,27.912561353937004
32779,-81.41365069343435,28.705202062121213
33012,,
34744,,
34683,,
33435,-80.0663710469555,26.52658795140515
33183,-80.4091499082553,25.700659715820603
33445,-80.10978176901763,26.456303838916877
32217,,
34242,-82.54809649410319,27.26932317076167
34231,,
34104,,
34748,-81.88671046743323,28.785107730749257
33331,,
33323,-80.3172906894737,26.15098001804511
33844,-81.60418057879212,28.094106842415734
33182,-80.40459359985873,25.77709490539204
33172,,
32246,-81.51052171309978,30.300875271255606
33487,-80.08740425290698,26.40729866627907
33428,,
32605,-82.3684942167206,29.679304959978424
33461,-80.09556350207546,26.61895411
33610,,
32807,-81.30601599764707,28.544905294117648
33711,-82.68469921046513,27.747614042248063
34105,,
33024,-80.24706866225895,26.022621704352616
33556,,
33055,,
33130,,
33901,-81.87116668853504,26.627166156178344
33707,-82.71765350809628,27.757140997592998
